Participant	Fam0	Fam1	Fam2	Fam3	Fam4	Fam5	Fam6	Fam7	AG	Fam8	Fam9	Fam10	Fam11	Fam12	Fam13	Fam14	Fam15	AG	Fam16	Fam17	Fam18	Fam19	Fam20	Fam21	Fam22	Fam23	AG	Ctr0	AG	Ctr1	AG	Ctr2	AG	WL0	AG	WL1
24	Flip_B1_S1	Flip_A4_G1	Flip_B5_S1	Flip_A6_G1	Flip_B3_S1	Flip_A2_G1	Reg_B4_S1	Reg_A1_G1	AG4	Reg_B6_S1	Flip_A3_G1	Flip_B2_S1	Reg_A5_G1	Flip_B1_S2	Reg_A4_G2	Reg_B5_S2	Reg_A6_G2	AG5	Reg_B3_S2	Reg_A2_G2	Flip_B4_S2	Reg_A1_G2	Reg_B6_S2	Flip_A3_G2	Reg_B2_S2	Reg_A5_G2	AG1	HC_B2R	AG2	TC_B2L	AG3	RC_AR_1L	AG4	WLS_A1R_B2L	AG5	WLG_A2R_B1L
25	Flip_A4_NL1	Flip_B2_NL1	Reg_A5_NL1	Reg_B6_NL1	Flip_A1_NL1	Reg_B3_NL1	Reg_A6_NL1	Reg_B5_NL1	AG4	Flip_A3_NL1	Flip_B1_NL1	Reg_A2_NL1	Flip_B4_NL1	Reg_A4_NL2	Reg_B2_NL2	Flip_A5_NL2	Reg_B6_NL2	AG5	Flip_A1_NL2	Flip_B3_NL2	Reg_A6_NL2	Reg_B5_NL2	Reg_A3_NL2	Reg_B1_NL2	Flip_A2_NL2	Flip_B4_NL2	AG1	TC_A2L	AG2	HC_B1R	AG3	RC_BL_2R	AG4	WLG_A1L_B2R	AG5	WLS_A2L_B1R
26	Flip_A3_NL1	Flip_B4_NL1	Reg_A5_NL1	Reg_B1_NL1	Reg_A2_NL1	Flip_B2_NL1	Flip_A6_NL1	Reg_B5_NL1	AG4	Flip_A1_NL1	Flip_B6_NL1	Flip_A4_NL1	Flip_B3_NL1	Flip_A3_NL2	Reg_B4_NL2	Flip_A5_NL2	Reg_B1_NL2	AG5	Reg_A2_NL2	Flip_B2_NL2	Reg_A6_NL2	Flip_B5_NL2	Flip_A1_NL2	Reg_B6_NL2	Flip_A4_NL2	Flip_B3_NL2	AG1	TC_A1L	AG2	HC_B1R	AG3	RC_BR_2L	AG4	WLG_A1L_B2R	AG5	WLS_A2R_B1L
27	Flip_B2_NL1	Reg_A3_NL1	Flip_B1_NL1	Flip_A2_NL1	Reg_B4_NL1	Reg_A1_NL1	Flip_B3_NL1	Flip_A5_NL1	AG4	Reg_B6_NL1	Flip_A6_NL1	Flip_B5_NL1	Reg_A4_NL1	Reg_B2_NL2	Flip_A3_NL2	Flip_B1_NL2	Reg_A2_NL2	AG5	Flip_B4_NL2	Reg_A1_NL2	Flip_B3_NL2	Reg_A5_NL2	Reg_B6_NL2	Reg_A6_NL2	Flip_B5_NL2	Flip_A4_NL2	AG1	TC_B1R	AG2	HC_B1R	AG3	RC_AL_2R	AG4	WLG_A1R_B2L	AG5	WLS_A2L_B1R
28	Reg_B3_NL1	Flip_A5_NL1	Reg_B1_NL1	Flip_A2_NL1	Flip_B4_NL1	Reg_A1_NL1	Flip_B6_NL1	Flip_A4_NL1	AG4	Flip_B5_NL1	Flip_A3_NL1	Flip_B2_NL1	Flip_A6_NL1	Flip_B3_NL2	Flip_A5_NL2	Flip_B1_NL2	Reg_A2_NL2	AG5	Reg_B4_NL2	Flip_A1_NL2	Reg_B6_NL2	Reg_A4_NL2	Flip_B5_NL2	Reg_A3_NL2	Flip_B2_NL2	Reg_A6_NL2	AG1	TC_B2R	AG2	HC_A1R	AG3	RC_AR_2L	AG4	WLG_A1R_B2L	AG5	WLS_A2R_B1L
29	Flip_A4_G1	Flip_B6_S1	Reg_A6_G1	Reg_B2_S1	Reg_A1_G1	Reg_B1_S1	Flip_A5_G1	Flip_B3_S1	AG4	Flip_A2_G1	Reg_B5_S1	Flip_A3_G1	Reg_B4_S1	Flip_A4_G2	Flip_B6_S2	Flip_A6_G2	Reg_B2_S2	AG5	Reg_A1_G2	Reg_B1_S2	Flip_A5_G2	Flip_B3_S2	Reg_A2_G2	Flip_B5_S2	Reg_A3_G2	Reg_B4_S2	AG1	TC_A1R	AG2	HC_B2L	AG3	RC_BL_1R	AG4	WLS_A1L_B2R	AG5	WLG_A2L_B1R
30	Reg_A6_S1	Flip_B2_G1	Flip_A1_S1	Flip_B3_G1	Reg_A5_S1	Flip_B4_G1	Reg_A3_S1	Flip_B1_G1	AG4	Reg_A4_S1	Flip_B5_G1	Flip_A2_S1	Flip_B6_G1	Reg_A6_S2	Reg_B2_G2	Reg_A1_S2	Flip_B3_G2	AG5	Flip_A5_S2	Reg_B4_G2	Reg_A3_S2	Flip_B1_G2	Flip_A4_S2	Flip_B5_G2	Reg_A2_S2	Flip_B6_G2	AG1	TC_A1L	AG2	HC_A2R	AG3	RC_BR_1L	AG4	WLS_A1L_B2R	AG5	WLG_A2R_B1L
31	Reg_B5_G1	Reg_A5_S1	Reg_B2_G1	Flip_A2_S1	Reg_B4_G1	Reg_A6_S1	Reg_B1_G1	Reg_A3_S1	AG4	Reg_B6_G1	Reg_A4_S1	Reg_B3_G1	Flip_A1_S1	Flip_B5_G2	Reg_A5_S2	Reg_B2_G2	Reg_A2_S2	AG5	Flip_B4_G2	Reg_A6_S2	Flip_B1_G2	Flip_A3_S2	Reg_B6_G2	Flip_A4_S2	Reg_B3_G2	Flip_A1_S2	AG1	TC_B1L	AG2	HC_B2R	AG3	RC_AL_1R	AG4	WLS_A1R_B2L	AG5	WLG_A2L_B1R
32	Flip_B1_S1	Reg_A6_G1	Flip_B3_S1	Flip_A5_G1	Reg_B5_S1	Flip_A4_G1	Flip_B2_S1	Reg_A3_G1	AG4	Reg_B4_S1	Flip_A1_G1	Reg_B6_S1	Flip_A2_G1	Flip_B1_S2	Flip_A6_G2	Reg_B3_S2	Flip_A5_G2	AG5	Reg_B5_S2	Flip_A4_G2	Reg_B2_S2	Reg_A3_G2	Flip_B4_S2	Flip_A1_G2	Flip_B6_S2	Flip_A2_G2	AG1	TC_B1L	AG2	HC_B2R	AG3	RC_AR_1L	AG4	WLS_A1R_B2L	AG5	WLG_A2R_B1L
33	Reg_A6_NL1	Flip_B3_NL1	Flip_A4_NL1	Flip_B6_NL1	Flip_A1_NL1	Flip_B4_NL1	Reg_A3_NL1	Flip_B1_NL1	AG4	Flip_A5_NL1	Reg_B2_NL1	Reg_A2_NL1	Flip_B5_NL1	Flip_A6_NL2	Reg_B3_NL2	Reg_A4_NL2	Flip_B6_NL2	AG5	Flip_A1_NL2	Flip_B4_NL2	Flip_A3_NL2	Flip_B1_NL2	Reg_A5_NL2	Reg_B2_NL2	Flip_A2_NL2	Reg_B5_NL2	AG1	HC_B1R	AG2	TC_A1R	AG3	RC_BL_2R	AG4	WLG_A1L_B2R	AG5	WLS_A2L_B1R
34	Reg_A6_NL1	Reg_B3_NL1	Reg_A5_NL1	Reg_B6_NL1	Flip_A4_NL1	Reg_B5_NL1	Flip_A1_NL1	Reg_B1_NL1	AG4	Reg_A3_NL1	Reg_B4_NL1	Reg_A2_NL1	Flip_B2_NL1	Flip_A6_NL2	Flip_B3_NL2	Flip_A5_NL2	Flip_B6_NL2	AG5	Flip_A4_NL2	Reg_B5_NL2	Reg_A1_NL2	Flip_B1_NL2	Flip_A3_NL2	Reg_B4_NL2	Reg_A2_NL2	Reg_B2_NL2	AG1	HC_B1L	AG2	TC_A2L	AG3	RC_BR_2L	AG4	WLG_A1L_B2R	AG5	WLS_A2R_B1L
35	Flip_B3_NL1	Reg_A4_NL1	Flip_B1_NL1	Flip_A2_NL1	Reg_B2_NL1	Reg_A3_NL1	Flip_B5_NL1	Reg_A5_NL1	AG4	Flip_B4_NL1	Flip_A6_NL1	Reg_B6_NL1	Flip_A1_NL1	Reg_B3_NL2	Flip_A4_NL2	Reg_B1_NL2	Flip_A2_NL2	AG5	Flip_B2_NL2	Flip_A3_NL2	Reg_B5_NL2	Reg_A5_NL2	Flip_B4_NL2	Reg_A6_NL2	Flip_B6_NL2	Flip_A1_NL2	AG1	HC_A1L	AG2	TC_B1L	AG3	RC_AL_2R	AG4	WLG_A1R_B2L	AG5	WLS_A2L_B1R
36	Reg_B3_NL1	Reg_A1_NL1	Flip_B2_NL1	Flip_A3_NL1	Flip_B4_NL1	Reg_A4_NL1	Reg_B1_NL1	Flip_A6_NL1	AG4	Flip_B5_NL1	Flip_A5_NL1	Reg_B6_NL1	Reg_A2_NL1	Reg_B3_NL2	Flip_A1_NL2	Reg_B2_NL2	Flip_A3_NL2	AG5	Reg_B4_NL2	Flip_A4_NL2	Flip_B1_NL2	Reg_A6_NL2	Flip_B5_NL2	Reg_A5_NL2	Flip_B6_NL2	Reg_A2_NL2	AG1	HC_A1L	AG2	TC_B1L	AG3	RC_AR_2L	AG4	WLG_A1R_B2L	AG5	WLS_A2R_B1L
37	Reg_A6_G1	Flip_B6_S1	Reg_A2_G1	Reg_B5_S1	Flip_A1_G1	Reg_B1_S1	Flip_A5_G1	Reg_B3_S1	AG4	Reg_A4_G1	Reg_B4_S1	Flip_A3_G1	Flip_B2_S1	Flip_A6_G2	Reg_B6_S2	Reg_A2_G2	Flip_B5_S2	AG5	Flip_A1_G2	Reg_B1_S2	Flip_A5_G2	Flip_B3_S2	Flip_A4_G2	Flip_B4_S2	Reg_A3_G2	Reg_B2_S2	AG1	HC_B2L	AG2	TC_A1L	AG3	RC_BL_1R	AG4	WLS_A1L_B2R	AG5	WLG_A2L_B1R
38	Reg_A5_S1	Reg_B6_G1	Flip_A3_S1	Flip_B5_G1	Flip_A2_S1	Reg_B4_G1	Flip_A4_S1	Flip_B3_G1	AG4	Flip_A1_S1	Flip_B2_G1	Flip_A6_S1	Reg_B1_G1	Flip_A5_S2	Flip_B6_G2	Flip_A3_S2	Flip_B5_G2	AG5	Flip_A2_S2	Reg_B4_G2	Flip_A4_S2	Reg_B3_G2	Flip_A1_S2	Reg_B2_G2	Flip_A6_S2	Reg_B1_G2	AG1	HC_A2R	AG2	TC_A2L	AG3	RC_BR_1L	AG4	WLS_A1L_B2R	AG5	WLG_A2R_B1L
39	Flip_B5_G1	Reg_A1_S1	Reg_B1_G1	Reg_A4_S1	Reg_B4_G1	Reg_A3_S1	Flip_B3_G1	Reg_A5_S1	AG4	Reg_B2_G1	Reg_A6_S1	Flip_B6_G1	Flip_A2_S1	Flip_B5_G2	Flip_A1_S2	Flip_B1_G2	Flip_A4_S2	AG5	Flip_B4_G2	Flip_A3_S2	Reg_B3_G2	Flip_A5_S2	Reg_B2_G2	Flip_A6_S2	Flip_B6_G2	Flip_A2_S2	AG1	HC_B2L	AG2	TC_B1L	AG3	RC_AL_1R	AG4	WLS_A1R_B2L	AG5	WLG_A2L_B1R
40	Flip_B3_S1	Reg_A6_G1	Reg_B2_S1	Reg_A2_G1	Flip_B5_S1	Reg_A1_G1	Reg_B6_S1	Flip_A3_G1	AG4	Flip_B1_S1	Reg_A4_G1	Reg_B4_S1	Reg_A5_G1	Reg_B3_S2	Reg_A6_G2	Reg_B2_S2	Reg_A2_G2	AG5	Flip_B5_S2	Flip_A1_G2	Flip_B6_S2	Reg_A3_G2	Flip_B1_S2	Flip_A4_G2	Reg_B4_S2	Reg_A5_G2	AG1	HC_A2L	AG2	TC_B1R	AG3	RC_AR_1L	AG4	WLS_A1R_B2L	AG5	WLG_A2R_B1L
41	Reg_A4_NL1	Reg_B3_NL1	Reg_A5_NL1	Reg_B2_NL1	Flip_A3_NL1	Reg_B6_NL1	Flip_A6_NL1	Reg_B4_NL1	AG4	Flip_A1_NL1	Flip_B5_NL1	Reg_A2_NL1	Reg_B1_NL1	Reg_A4_NL2	Reg_B3_NL2	Flip_A5_NL2	Flip_B2_NL2	AG5	Reg_A3_NL2	Reg_B6_NL2	Flip_A6_NL2	Reg_B4_NL2	Flip_A1_NL2	Reg_B5_NL2	Reg_A2_NL2	Reg_B1_NL2	AG1	TC_A1R	AG2	HC_B1R	AG3	RC_BL_2R	AG4	WLG_A1L_B2R	AG5	WLS_A2L_B1R
42	Reg_A1_NL1	Reg_B3_NL1	Reg_A3_NL1	Reg_B2_NL1	Flip_A2_NL1	Reg_B4_NL1	Flip_A5_NL1	Reg_B1_NL1	AG4	Reg_A4_NL1	Flip_B6_NL1	Reg_A6_NL1	Reg_B5_NL1	Flip_A1_NL2	Flip_B3_NL2	Flip_A3_NL2	Reg_B2_NL2	AG5	Flip_A2_NL2	Flip_B4_NL2	Reg_A5_NL2	Flip_B1_NL2	Reg_A4_NL2	Flip_B6_NL2	Flip_A6_NL2	Flip_B5_NL2	AG1	TC_A2R	AG2	HC_A1L	AG3	RC_BR_2L	AG4	WLG_A1L_B2R	AG5	WLS_A2R_B1L
43	Flip_B2_NL1	Reg_A3_NL1	Reg_B6_NL1	Reg_A1_NL1	Flip_B3_NL1	Reg_A6_NL1	Reg_B5_NL1	Flip_A4_NL1	AG4	Flip_B1_NL1	Flip_A5_NL1	Flip_B4_NL1	Flip_A2_NL1	Flip_B2_NL2	Flip_A3_NL2	Flip_B6_NL2	Flip_A1_NL2	AG5	Reg_B3_NL2	Reg_A6_NL2	Reg_B5_NL2	Flip_A4_NL2	Reg_B1_NL2	Reg_A5_NL2	Flip_B4_NL2	Reg_A2_NL2	AG1	TC_B1R	AG2	HC_B1R	AG3	RC_AL_2R	AG4	WLG_A1R_B2L	AG5	WLS_A2L_B1R
44	Flip_B6_NL1	Flip_A1_NL1	Flip_B5_NL1	Flip_A5_NL1	Reg_B1_NL1	Flip_A6_NL1	Reg_B4_NL1	Reg_A2_NL1	AG4	Flip_B2_NL1	Reg_A3_NL1	Reg_B3_NL1	Reg_A4_NL1	Reg_B6_NL2	Reg_A1_NL2	Flip_B5_NL2	Reg_A5_NL2	AG5	Reg_B1_NL2	Reg_A6_NL2	Flip_B4_NL2	Reg_A2_NL2	Flip_B2_NL2	Reg_A3_NL2	Reg_B3_NL2	Flip_A4_NL2	AG1	TC_B2L	AG2	HC_B1R	AG3	RC_AR_2L	AG4	WLG_A1R_B2L	AG5	WLS_A2R_B1L
45	Flip_A4_G1	Reg_B5_S1	Reg_A6_G1	Flip_B4_S1	Reg_A5_G1	Reg_B1_S1	Reg_A1_G1	Reg_B2_S1	AG4	Reg_A3_G1	Reg_B6_S1	Reg_A2_G1	Flip_B3_S1	Flip_A4_G2	Flip_B5_S2	Reg_A6_G2	Flip_B4_S2	AG5	Flip_A5_G2	Flip_B1_S2	Flip_A1_G2	Flip_B2_S2	Reg_A3_G2	Flip_B6_S2	Reg_A2_G2	Flip_B3_S2	AG1	TC_A2R	AG2	HC_B2R	AG3	RC_BL_1R	AG4	WLS_A1L_B2R	AG5	WLG_A2L_B1R
46	Flip_A1_S1	Reg_B6_G1	Reg_A6_S1	Flip_B4_G1	Reg_A2_S1	Reg_B1_G1	Reg_A4_S1	Reg_B3_G1	AG4	Reg_A3_S1	Flip_B5_G1	Reg_A5_S1	Reg_B2_G1	Flip_A1_S2	Reg_B6_G2	Reg_A6_S2	Reg_B4_G2	AG5	Flip_A2_S2	Flip_B1_G2	Flip_A4_S2	Flip_B3_G2	Reg_A3_S2	Flip_B5_G2	Flip_A5_S2	Flip_B2_G2	AG1	TC_A1R	AG2	HC_B2R	AG3	RC_BR_1L	AG4	WLS_A1L_B2R	AG5	WLG_A2R_B1L
47	Flip_B6_G1	Flip_A5_S1	Reg_B1_G1	Reg_A1_S1	Reg_B5_G1	Reg_A4_S1	Reg_B3_G1	Reg_A6_S1	AG4	Reg_B4_G1	Reg_A2_S1	Flip_B2_G1	Flip_A3_S1	Flip_B6_G2	Flip_A5_S2	Flip_B1_G2	Flip_A1_S2	AG5	Flip_B5_G2	Reg_A4_S2	Flip_B3_G2	Reg_A6_S2	Reg_B4_G2	Reg_A2_S2	Flip_B2_G2	Flip_A3_S2	AG1	TC_B1R	AG2	HC_A2R	AG3	RC_AL_1R	AG4	WLS_A1R_B2L	AG5	WLG_A2L_B1R
48	Reg_B3_S1	Reg_A2_G1	Flip_B2_S1	Reg_A6_G1	Flip_B4_S1	Reg_A1_G1	Reg_B6_S1	Flip_A5_G1	AG4	Reg_B5_S1	Flip_A4_G1	Flip_B1_S1	Reg_A3_G1	Reg_B3_S2	Flip_A2_G2	Flip_B2_S2	Flip_A6_G2	AG5	Flip_B4_S2	Flip_A1_G2	Flip_B6_S2	Reg_A5_G2	Reg_B5_S2	Flip_A4_G2	Flip_B1_S2	Reg_A3_G2	AG1	TC_B1R	AG2	HC_A2L	AG3	RC_AR_1L	AG4	WLS_A1R_B2L	AG5	WLG_A2R_B1L
